iter	Passed	Remaining
0	203	203510
1	253	126714
2	305	101406
3	361	89992
4	422	84168
5	478	79234
6	528	75040
7	581	72133
8	634	69837
9	683	67636
10	728	65470
11	772	63606
12	823	62511
13	880	62025
14	934	61336
15	989	60881
16	1037	59975
17	1088	59393
18	1137	58743
19	1182	57940
20	1226	57155
21	1264	56229
22	1302	55323
23	1340	54496
24	1385	54015
25	1428	53509
26	1473	53086
27	1506	52309
28	1549	51879
29	1590	51442
30	1625	50823
31	1667	50441
32	1710	50126
33	1756	49895
34	1795	49491
35	1838	49243
36	1877	48868
37	1923	48685
38	1957	48223
39	1991	47791
40	2032	47541
41	2071	47245
42	2125	47314
43	2170	47156
44	2222	47157
45	2273	47147
46	2319	47027
47	2377	47158
48	2436	47290
49	2478	47082
50	2514	46783
51	2552	46539
52	2589	46264
53	2627	46023
54	2676	45984
55	2720	45856
56	2758	45642
57	2795	45409
58	2835	45221
59	2873	45018
60	2918	44922
61	2959	44779
62	2997	44585
63	3042	44492
64	3079	44297
65	3119	44148
66	3154	43926
67	3193	43766
68	3238	43701
69	3278	43557
70	3321	43457
71	3364	43361
72	3407	43272
73	3454	43223
74	3497	43134
75	3540	43050
76	3579	42903
77	3614	42721
78	3650	42552
79	3684	42371
80	3726	42276
81	3761	42110
82	3798	41961
83	3837	41847
84	3880	41775
85	3916	41622
86	3952	41475
87	3988	41334
88	4031	41264
89	4073	41188
90	4114	41098
91	4179	41246
92	4234	41295
93	4273	41191
94	4308	41044
95	4344	40915
96	4380	40776
97	4415	40640
98	4452	40520
99	4484	40361
100	4517	40207
101	4552	40078
102	4589	39966
103	4621	39813
104	4654	39674
105	4687	39530
106	4718	39378
107	4750	39235
108	4782	39095
109	4816	38972
110	4851	38856
111	4886	38739
112	4917	38601
113	4950	38474
114	4986	38374
115	5019	38249
116	5054	38143
117	5091	38057
118	5129	37975
119	5164	37871
120	5200	37782
121	5236	37685
122	5272	37595
123	5305	37478
124	5342	37395
125	5380	37322
126	5416	37230
127	5447	37111
128	5483	37025
129	5519	36940
130	5554	36844
131	5587	36741
132	5623	36660
133	5659	36577
134	5696	36496
135	5732	36415
136	5764	36312
137	5812	36305
138	5847	36223
139	5879	36119
140	5915	36037
141	5951	35958
142	5984	35862
143	6018	35776
144	6051	35685
145	6091	35629
146	6126	35553
147	6166	35499
148	6201	35416
149	6239	35357
150	6276	35291
151	6311	35211
152	6343	35116
153	6376	35031
154	6409	34943
155	6443	34859
156	6478	34787
157	6511	34699
158	6546	34628
159	6581	34552
160	6613	34462
161	6645	34373
162	6677	34289
163	6710	34209
164	6744	34130
165	6776	34046
166	6809	33966
167	6842	33887
168	6876	33810
169	6911	33742
170	6943	33663
171	6976	33586
172	7011	33517
173	7043	33435
174	7079	33375
175	7121	33341
176	7160	33295
177	7200	33251
178	7240	33208
179	7278	33157
180	7313	33093
181	7349	33032
182	7385	32970
183	7420	32909
184	7457	32854
185	7492	32791
186	7527	32727
187	7564	32673
188	7600	32615
189	7636	32553
190	7672	32497
191	7708	32441
192	7743	32379
193	7779	32320
194	7815	32263
195	7851	32205
196	7887	32150
197	7923	32095
198	7959	32037
199	7995	31980
200	8031	31924
201	8067	31869
202	8105	31823
203	8142	31773
204	8179	31721
205	8219	31682
206	8255	31625
207	8290	31569
208	8326	31512
209	8362	31457
210	8398	31403
211	8434	31350
212	8470	31295
213	8506	31244
214	8542	31189
215	8577	31134
216	8613	31078
217	8649	31026
218	8685	30973
219	8721	30923
220	8757	30869
221	8792	30813
222	8828	30762
223	8867	30718
224	8903	30667
225	8940	30617
226	8975	30564
227	9010	30510
228	9046	30459
229	9083	30410
230	9120	30361
231	9158	30318
232	9198	30280
233	9235	30231
234	9285	30227
235	9337	30228
236	9380	30198
237	9423	30169
238	9468	30148
239	9515	30132
240	9555	30092
241	9590	30040
242	9622	29977
243	9659	29929
244	9713	29933
245	9758	29910
246	9808	29902
247	9869	29926
248	9920	29921
249	9969	29907
250	10009	29870
251	10059	29860
252	10124	29894
253	10191	29931
254	10243	29926
255	10294	29917
256	10340	29893
257	10384	29865
258	10423	29823
259	10470	29800
260	10517	29778
261	10562	29753
262	10603	29715
263	10645	29679
264	10688	29645
265	10729	29607
266	10771	29572
267	10813	29536
268	10855	29499
269	10897	29463
270	10936	29420
271	10972	29368
272	11007	29313
273	11042	29258
274	11079	29210
275	11116	29160
276	11152	29110
277	11190	29063
278	11226	29010
279	11263	28962
280	11301	28917
281	11338	28867
282	11373	28815
283	11409	28764
284	11445	28712
285	11481	28664
286	11518	28615
287	11553	28562
288	11588	28510
289	11623	28458
290	11661	28412
291	11702	28374
292	11739	28326
293	11771	28267
294	11818	28244
295	11851	28187
296	11883	28129
297	11916	28071
298	11950	28017
299	11982	27959
300	12015	27903
301	12049	27848
302	12081	27792
303	12117	27743
304	12153	27693
305	12191	27649
306	12225	27597
307	12258	27542
308	12291	27486
309	12324	27431
310	12358	27378
311	12390	27322
312	12426	27274
313	12480	27266
314	12549	27289
315	12604	27283
316	12664	27286
317	12715	27269
318	12754	27227
319	12790	27179
320	12831	27142
321	12866	27091
322	12902	27043
323	12935	26989
324	12968	26934
325	13001	26880
326	13034	26826
327	13071	26780
328	13104	26727
329	13137	26673
330	13170	26619
331	13205	26570
332	13242	26524
333	13276	26472
334	13309	26419
335	13343	26369
336	13377	26317
337	13411	26267
338	13445	26217
339	13478	26163
340	13513	26116
341	13552	26074
342	13590	26032
343	13630	25993
344	13667	25948
345	13703	25901
346	13741	25858
347	13777	25813
348	13828	25795
349	13867	25754
350	13903	25707
351	13938	25659
352	13976	25616
353	14011	25569
354	14046	25520
355	14081	25473
356	14115	25424
357	14153	25381
358	14191	25338
359	14229	25296
360	14267	25254
361	14305	25211
362	14341	25166
363	14377	25121
364	14412	25074
365	14447	25026
366	14490	24993
367	14534	24961
368	14574	24923
369	14614	24884
370	14656	24849
371	14696	24810
372	14732	24765
373	14765	24714
374	14800	24667
375	14835	24620
376	14874	24580
377	14911	24536
378	14944	24487
379	14986	24451
380	15024	24409
381	15061	24366
382	15105	24334
383	15145	24296
384	15185	24256
385	15226	24220
386	15259	24170
387	15296	24127
388	15336	24088
389	15373	24045
390	15410	24002
391	15447	23959
392	15484	23915
393	15521	23872
394	15557	23828
395	15592	23782
396	15629	23739
397	15665	23695
398	15702	23652
399	15738	23608
400	15775	23565
401	15810	23519
402	15847	23475
403	15884	23433
404	15920	23389
405	15958	23347
406	15993	23302
407	16028	23257
408	16066	23216
409	16103	23172
410	16140	23131
411	16178	23090
412	16216	23049
413	16256	23010
414	16292	22966
415	16329	22924
416	16366	22882
417	16404	22840
418	16440	22797
419	16476	22753
420	16511	22707
421	16546	22663
422	16583	22621
423	16619	22577
424	16655	22534
425	16692	22491
426	16728	22448
427	16765	22406
428	16803	22365
429	16841	22325
430	16879	22284
431	16918	22245
432	16957	22205
433	16994	22163
434	17032	22122
435	17073	22085
436	17112	22046
437	17151	22007
438	17190	21968
439	17230	21929
440	17274	21896
441	17320	21866
442	17367	21836
443	17409	21801
444	17449	21763
445	17494	21731
446	17537	21696
447	17578	21658
448	17620	21622
449	17658	21582
450	17698	21543
451	17738	21505
452	17780	21469
453	17821	21433
454	17861	21394
455	17902	21357
456	17943	21320
457	17985	21284
458	18027	21247
459	18069	21211
460	18110	21174
461	18153	21139
462	18196	21104
463	18245	21076
464	18289	21042
465	18333	21009
466	18376	20973
467	18423	20942
468	18467	20909
469	18515	20879
470	18560	20846
471	18606	20814
472	18641	20770
473	18679	20728
474	18716	20686
475	18752	20643
476	18790	20602
477	18843	20577
478	18897	20553
479	18949	20528
480	19012	20514
481	19104	20531
482	19187	20538
483	19258	20532
484	19321	20516
485	19385	20502
486	19437	20474
487	19497	20456
488	19565	20445
489	19620	20421
490	19686	20408
491	19735	20377
492	19781	20343
493	19832	20314
494	19888	20290
495	19933	20254
496	19985	20226
497	20032	20193
498	20078	20159
499	20120	20120
500	20165	20084
501	20209	20048
502	20252	20011
503	20297	19975
504	20345	19942
505	20387	19903
506	20429	19865
507	20472	19827
508	20518	19793
509	20562	19755
510	20607	19720
511	20652	19684
512	20694	19646
513	20737	19608
514	20782	19571
515	20827	19536
516	20878	19505
517	20925	19471
518	20976	19440
519	21025	19408
520	21071	19372
521	21116	19336
522	21163	19302
523	21210	19267
524	21259	19234
525	21306	19199
526	21352	19164
527	21398	19128
528	21445	19094
529	21494	19061
530	21541	19026
531	21590	18993
532	21639	18959
533	21686	18924
534	21738	18894
535	21789	18862
536	21838	18828
